,index,high_nei,high_sim,low_nei,low_sim
0,0,"9, 7, 4","0.509123597060604, 0.4625376769435955, 0.45579467203456325","2, 4, 3","0.66902703, 0.8912902, 1.0166892"
1,1,"4, 2, 7","0.7523094835362188, 0.600663224889294, 0.5959735938312021","4, 6, 0","0.53456616, 1.0944629, 2.5785835"
2,2,"9, 7, 4","0.6587707718909889, 0.631081723009447, 0.6043573420493306","0, 9, 3","0.66902703, 0.6794357, 0.97726595"
3,3,"7, 9, 8","0.46864989431157217, 0.4633078372774949, 0.45517388415991766","9, 7, 4","0.6793535, 0.7369493, 0.8936509"
4,4,"1, 5, 6","0.7523094835362188, 0.6277861883636958, 0.6181743324519327","1, 6, 0","0.53456616, 0.67914724, 0.8912902"
5,5,"7, 9, 4","0.6835062465420536, 0.6525305456109711, 0.6277861883636958","8, 7, 6","0.40631372, 0.49144825, 1.4341285"
6,6,"9, 4, 7","0.646825736898424, 0.6181743324519327, 0.588153543668082","8, 4, 3","0.556226, 0.67914724, 0.903412"
7,7,"5, 9, 2","0.6835062465420536, 0.6503105125919915, 0.631081723009447","5, 9, 3","0.49144825, 0.56045187, 0.7369493"
8,8,"7, 5, 9","0.5170140428187547, 0.47243112378703067, 0.4657696067450912","5, 6, 7","0.40631372, 0.556226, 1.3350939"
9,9,"2, 5, 7","0.6587707718909889, 0.6525305456109711, 0.6503105125919915","7, 3, 2","0.56045187, 0.6793535, 0.6794357"
