,index,high_nei,high_sim,low_nei,low_sim
0,0,"365, 51, 82","0.6891245098859079, 0.6353177310331323, 0.6298825126326691","365, 218, 294","2.1463046, 4.1110487, 5.4571133"
1,1,"127, 176, 4","0.8315727978430861, 0.7985226992163117, 0.7523094835362188","176, 350, 4","0.04037518, 0.5032552, 13.531827"
2,2,"311, 455, 143","0.8014107358437226, 0.7956482780552101, 0.7820020898905592","455, 317, 391","0.54074794, 1.0274475, 2.071295"
3,3,"310, 73, 442","0.7221413733058502, 0.6876703555279116, 0.6746874260413405","310, 487, 442","2.1811185, 2.4347308, 2.445003"
4,4,"127, 1, 270","0.7568057117889444, 0.7523094835362188, 0.7499803498772221","205, 395, 388","0.5404955, 3.407019, 4.9615927"
5,5,"46, 349, 355","0.7700307459037022, 0.7125362081213391, 0.7092080389522553","46, 491, 360","0.09674893, 1.5627123, 5.336994"
6,6,"40, 401, 378","0.7841750367510816, 0.718708400006763, 0.7111566616790038","40, 284, 242","0.0005515035, 4.6473155, 8.965179"
7,7,"416, 108, 238","0.7636211579246499, 0.743330416107691, 0.739864244538804","416, 238, 108","1.2637068, 1.3695384, 2.3399627"
8,8,"193, 493, 394","0.722010046399409, 0.7160443642509683, 0.6994209422124877","193, 493, 297","0.6746949, 3.0650835, 3.0785322"
9,9,"447, 255, 475","0.9029612047789204, 0.8843921113166111, 0.8838079845489758","447, 161, 112","0.87974375, 1.8151301, 1.9852984"
10,10,"154, 440, 175","0.8008566682402938, 0.7911925926745029, 0.7707688112164306","440, 154, 287","0.7084929, 0.7281792, 2.208924"
11,11,"55, 344, 496","0.9393325716131693, 0.9196066486678693, 0.9094559145639775","344, 55, 377","0.7074802, 0.8642062, 1.1873337"
12,12,"37, 371, 442","0.6966628734627313, 0.6863247358013443, 0.6719330283215366","37, 371, 442","2.205218, 3.2052321, 3.4123785"
13,13,"380, 154, 287","0.7167733149079305, 0.7093555942396922, 0.6993625343300156","124, 184, 178","0.8133775, 3.4344206, 6.543741"
14,14,"111, 33, 313","0.741872552754691, 0.7205615036945773, 0.7004958902842492","111, 354, 490","1.2500741, 2.9093845, 3.7277637"
15,15,"323, 97, 161","0.9138107367110493, 0.892358750184669, 0.8913262708392915","323, 482, 141","0.9635668, 1.5113487, 2.5336528"
16,16,"234, 249, 11","0.9101543249801978, 0.8993354425884215, 0.8982517840817034","344, 402, 458","1.2779868, 1.5709169, 2.0696578"
17,17,"371, 483, 30","0.686218711395788, 0.686004316049904, 0.6786447142012121","351, 190, 73","2.0208852, 2.0485969, 6.328208"
18,18,"178, 96, 44","0.8400305599649275, 0.8211830296204098, 0.8193062013134684","96, 216, 272","0.5108152, 0.8940956, 1.6002715"
19,19,"427, 100, 72","0.7376108891532558, 0.7009053945608993, 0.6956884384925334","427, 100, 298","0.35863048, 0.59204495, 0.86547685"
20,20,"313, 33, 186","0.7676217877205105, 0.7496894393816644, 0.7453889148257182","313, 186, 224","0.76762384, 0.90431154, 2.714851"
21,21,"248, 116, 242","0.7352807118229041, 0.7293155898122391, 0.7145432397086184","390, 324, 65","0.8266604, 4.568099, 5.5803027"
22,22,"185, 261, 343","0.7021192128113264, 0.7017780193165386, 0.6310250005318233","261, 453, 342","0.09536243, 0.80542946, 26.936462"
23,23,"144, 93, 89","0.7030160102834759, 0.6958797623474531, 0.6926612557417097","144, 111, 14","1.2192597, 5.610348, 5.6393213"
24,24,"386, 182, 136","0.7107015410811799, 0.7093555998203619, 0.6866654903624475","221, 109, 236","0.97876996, 2.3244605, 3.0983279"
25,25,"256, 134, 431","0.7785156019377002, 0.7532398659680488, 0.7360574974549113","431, 269, 134","2.1575167, 2.466701, 2.4758842"
26,26,"443, 306, 151","0.6308736802242404, 0.6255819042147194, 0.6242235894732557","231, 253, 92","1.8235462, 4.0205154, 12.298998"
27,27,"194, 53, 117","0.7398737504242944, 0.7023621929589415, 0.6867819207414818","172, 9, 57","4.8577223, 5.438733, 7.7496195"
28,28,"292, 24, 29","0.6186379028281238, 0.5920533167067946, 0.5844609666771924","283, 336, 192","0.41965908, 15.934433, 29.497902"
29,29,"271, 24, 95","0.665652990930702, 0.6563924265677556, 0.6533192704338866","292, 177, 422","1.0717022, 2.0515277, 8.500179"
30,30,"280, 200, 397","0.7761073364000002, 0.7405381819904459, 0.7253988494853397","280, 200, 240","0.05649842, 5.003462, 5.415566"
