0,"[1, 7, 9]","[0.216639003224434, 0.19977469893824895, 0.15728762381707695]","[2, 7, 9]","[0.68445075, 0.7665538, 1.3154248]"
1,"[7, 0, 4]","[0.30305458801105134, 0.216639003224434, 0.17051315869372205]","[7, 4, 9]","[0.53231025, 0.6325892, 2.028107]"
2,"[1, 0, 4]","[0.1531087526940149, 0.15135055608721112, 0.10384770683894483]","[9, 6, 0]","[0.5562589, 0.6725127, 0.68445075]"
3,"[8, 0, 1]","[0.1734119448210142, 0.15595038002419556, 0.12356027469067099]","[8, 5, 6]","[0.5820445, 1.0829083, 1.5015554]"
4,"[1, 2, 0]","[0.17051315869372205, 0.10384770683894483, 0.07521684422230633]","[1, 5, 8]","[0.6325892, 0.9473702, 1.0205437]"
5,"[8, 9, 1]","[0.16538314328641704, 0.15954786634958973, 0.13078153326305939]","[8, 4, 3]","[0.6832548, 0.9473702, 1.0829083]"
6,"[9, 7, 1]","[0.18116140856972515, 0.13148444016839536, 0.11633550133697688]","[9, 2, 8]","[0.5614792, 0.6725127, 1.4194407]"
7,"[1, 0, 9]","[0.30305458801105134, 0.19977469893824895, 0.145699181209104]","[1, 9, 0]","[0.53231025, 0.5890906, 0.7665538]"
8,"[3, 5, 9]","[0.1734119448210142, 0.16538314328641704, 0.12493970211366245]","[3, 9, 5]","[0.5820445, 0.5938979, 0.6832548]"
9,"[6, 5, 0]","[0.18116140856972515, 0.15954786634958973, 0.15728762381707695]","[2, 6, 7]","[0.5562589, 0.5614792, 0.5890906]"
