,index,high_nei,high_sim,low_nei,low_sim
0,0,"1, 7, 9","0.216639003224434, 0.19977469893824895, 0.15728762381707695","3, 6, 2","1448.4617, 1450.8131, 1493.3059"
1,1,"7, 0, 4","0.30305458801105134, 0.216639003224434, 0.17051315869372205","3, 8, 7","1493.7827, 2358.2603, 2675.3257"
2,2,"1, 0, 4","0.1531087526940149, 0.15135055608721112, 0.10384770683894483","0, 8, 9","1493.3059, 2361.0322, 2675.1025"
3,3,"8, 0, 1","0.1734119448210142, 0.15595038002419556, 0.12356027469067099","0, 6, 1","1448.4617, 1450.5662, 1493.7827"
4,4,"1, 2, 0","0.17051315869372205, 0.10384770683894483, 0.07521684422230633","6, 7, 5","1549.167, 2064.376, 2701.2925"
5,5,"8, 9, 1","0.16538314328641704, 0.15954786634958973, 0.13078153326305939","6, 9, 4","1548.8011, 2065.9207, 2701.2925"
6,6,"9, 7, 1","0.18116140856972515, 0.13148444016839536, 0.11633550133697688","3, 0, 5","1450.5662, 1450.8131, 1548.8011"
7,7,"1, 0, 9","0.30305458801105134, 0.19977469893824895, 0.145699181209104","3, 4, 1","1636.6282, 2064.376, 2675.3257"
8,8,"3, 5, 9","0.1734119448210142, 0.16538314328641704, 0.12493970211366245","0, 3, 1","1949.5541, 1952.612, 2358.2603"
9,9,"6, 5, 0","0.18116140856972515, 0.15954786634958973, 0.15728762381707695","0, 5, 2","1637.7095, 2065.9207, 2675.1025"
