,index,high_nei,high_sim,low_nei,low_sim
0,0,"23, 68, 20","0.2639327034563052, 0.2581067922209437, 0.24570809342361402","2, 16, 67","0.06767428, 0.11568649, 0.16239002"
1,1,"14, 20, 23","0.4317349916014361, 0.41026389199078395, 0.3840845809742571","61, 55, 34","0.06934031, 0.12946042, 0.1361273"
2,2,"95, 36, 21","0.2658568805605757, 0.24904865620956748, 0.2344950224594875","0, 67, 21","0.06767428, 0.1560975, 0.18624267"
3,3,"12, 88, 47","0.2692922037816554, 0.22266606956246368, 0.20010300356786107","48, 74, 90","0.035996802, 0.21479747, 0.2682765"
4,4,"73, 89, 75","0.27836382426044326, 0.2551796823358552, 0.242310818906134","28, 87, 27","0.19308957, 0.27333862, 0.36506343"
5,5,"47, 64, 23","0.3124081966601709, 0.2962417692845189, 0.2957153078580463","47, 43, 23","0.07441595, 0.11574751, 0.11794574"
6,6,"40, 78, 45","0.27232123848241746, 0.20706733210830322, 0.1954357197701534","40, 39, 58","0.18477242, 0.1942164, 0.20596567"
7,7,"45, 14, 24","0.3429749091944478, 0.334565946956853, 0.3162199978774581","61, 25, 1","0.06142245, 0.10581689, 0.21147081"
8,8,"26, 18, 50","0.22107120353180965, 0.2001732605089854, 0.1987468366491211","49, 52, 33","0.12241398, 0.17569032, 0.17602026"
9,9,"14, 23, 83","0.35582012706731647, 0.3306341570339045, 0.28731985317316694","23, 99, 72","0.09016983, 0.16819164, 0.22203285"
10,10,"75, 82, 83","0.2715678785693974, 0.26443192561234724, 0.26009169813654714","73, 83, 17","0.14697315, 0.20355006, 0.20542996"
11,11,"96, 25, 24","0.25747443540227904, 0.22537156425319185, 0.2233184612226284","96, 80, 24","0.06482365, 0.0726856, 0.14614612"
12,12,"72, 47, 23","0.3962760704971882, 0.37974170303789384, 0.37885912935689414","95, 16, 56","0.010115146, 0.09271443, 0.1268043"
13,13,"24, 38, 54","0.22873218929227454, 0.21120405500629671, 0.19598886882316083","46, 65, 76","0.047158327, 0.051488396, 0.08786999"
