,index,high_nei,high_sim,low_nei,low_sim
0,0,"51, 82, 52","0.6353177310331323, 0.6298825126326691, 0.6130283341592963","52, 51, 82","0.3554315, 0.549893, 1.4393797"
1,1,"4, 65, 36","0.7523094835362188, 0.6689921219710895, 0.6639368762483705","4, 36, 71","0.3745634, 1.2400568, 1.3522971"
2,2,"33, 78, 39","0.7699600439613823, 0.7489715627325281, 0.7316697511856525","39, 90, 86","0.06717226, 0.5828107, 0.94844306"
3,3,"73, 98, 37","0.6876703555279116, 0.64107155038519, 0.6336025005229226","73, 12, 37","0.26262817, 0.8965453, 1.0553827"
4,4,"1, 71, 36","0.7523094835362188, 0.7266570420118084, 0.6625421745575143","71, 1, 36","0.3116396, 0.3745634, 0.5117822"
5,5,"46, 76, 7","0.7700307459037022, 0.6855861799526463, 0.6835062465420536","46, 66, 95","0.015685426, 0.3145101, 0.3588584"
6,6,"40, 15, 61","0.7841750367510816, 0.6666380961145827, 0.6609650824874163","40, 61, 17","0.012221764, 0.21091864, 0.9855592"
7,7,"25, 61, 71","0.7165227984412422, 0.6980654956948299, 0.6929433604588573","71, 61, 4","0.17787185, 0.37996936, 0.9495431"
8,8,"70, 49, 75","0.6633355671834031, 0.6116456373587847, 0.6041427120740874","49, 70, 38","0.32284197, 0.5292803, 0.63732684"
9,9,"55, 68, 99","0.8702913056649617, 0.8671069201076802, 0.8658474183039567","68, 11, 55","0.0933271, 0.101806104, 0.103335634"
10,10,"2, 90, 86","0.7162373519924332, 0.7116936625884916, 0.7113927027572642","43, 90, 86","0.24985537, 0.49640268, 1.5898684"
11,11,"55, 16, 68","0.9393325716131693, 0.8982517840817034, 0.8725653252080212","55, 57, 16","0.0051746788, 0.04077491, 0.06343754"
12,12,"37, 73, 30","0.6966628734627313, 0.6322930949328877, 0.6317561875669965","37, 3, 73","0.008931516, 0.8965453, 1.7503915"
13,13,"43, 90, 10","0.6762675746079644, 0.6365988531515393, 0.6285369897073946","67, 35, 53","2.2692242, 2.4661713, 3.0916743"
14,14,"33, 20, 5","0.7205615036945773, 0.6790648967912556, 0.658722596246305","23, 96, 89","0.5848707, 1.2969882, 1.406949"
15,15,"97, 68, 99","0.892358750184669, 0.8852451685577282, 0.885117098494095","97, 99, 68","0.066424385, 0.34120426, 0.44882932"
16,16,"11, 55, 68","0.8982517840817034, 0.896123011406608, 0.8369011444116776","57, 11, 55","0.056215145, 0.06343754, 0.07277787"
17,17,"30, 25, 56","0.6786447142012121, 0.6657157526883928, 0.6649541855392095","30, 56, 6","0.29203108, 0.50839794, 0.9855592"
18,18,"96, 44, 94","0.8211830296204098, 0.8193062013134684, 0.7509205018766032","96, 27, 9","0.016439717, 0.7259322, 1.1155235"
19,19,"72, 4, 92","0.6956884384925334, 0.5445492160595469, 0.5405759532442378","72, 1, 29","7.719199e-05, 4.4338417, 4.5831065"
20,20,"33, 96, 91","0.7496894393816644, 0.7220951752202962, 0.7188111039297446","33, 91, 95","0.13559079, 0.2575547, 1.2620728"
21,21,"55, 9, 97","0.6719648923572775, 0.6669043915889067, 0.6658371048480897","92, 34, 42","0.47907358, 0.64609575, 1.3052704"
22,22,"38, 49, 25","0.62885546901589, 0.582670190019919, 0.5305148017856645","38, 8, 49","0.4318941, 1.1283357, 1.2572"
23,23,"93, 89, 14","0.6958797623474531, 0.6926612557417097, 0.6347886410242263","14, 93, 89","0.5848707, 0.64733255, 0.7341173"
24,24,"29, 95, 15","0.6563924265677556, 0.647761688658757, 0.6227324007404169","1, 26, 4","1.9174914, 2.0412874, 2.1685956"
25,25,"61, 7, 57","0.7345241700398171, 0.7165227984412422, 0.6893889881543517","36, 1, 4","1.3835076, 1.4464605, 1.9974909"
26,26,"83, 79, 50","0.6026643056585996, 0.5716213348175859, 0.568215615655922","83, 24, 98","0.22231394, 2.0412874, 2.209591"
27,27,"53, 68, 9","0.7023621929589415, 0.6568122188538891, 0.6557766565298015","50, 18, 9","0.67290926, 0.7259322, 0.74920917"
28,28,"24, 29, 65","0.5920533167067946, 0.5844609666771924, 0.5210081119659782","29, 24, 72","0.08616985, 3.3229597, 5.151528"
29,29,"24, 95, 28","0.6563924265677556, 0.6533192704338866, 0.5844609666771924","28, 24, 72","0.08616985, 2.3468683, 4.559154"
30,30,"17, 61, 12","0.6786447142012121, 0.6545167066753649, 0.6317561875669965","88, 17, 56","0.25029552, 0.29203108, 0.66560274"
31,31,"84, 69, 79","0.6417369514949792, 0.6216015739710031, 0.6156144392250634","69, 79, 84","0.0033225378, 0.5278804, 0.8380203"
32,32,"94, 85, 53","0.6819431325492052, 0.6424957423514837, 0.6365023150836097","67, 85, 35","0.37103283, 0.4928135, 0.61273664"
33,33,"91, 2, 20","0.7783016527997716, 0.7699600439613823, 0.7496894393816644","20, 91, 95","0.13559079, 0.15056849, 1.0912433"
34,34,"68, 9, 16","0.7377112697004768, 0.7354948553328348, 0.7248763024365876","21, 57, 16","0.64609575, 0.6953774, 0.78935623"
35,35,"67, 32, 64","0.6336451814862715, 0.6182623857822342, 0.578403890538018","32, 85, 67","0.61273664, 0.9775791, 1.3682377"
36,36,"46, 1, 5","0.6980462580326071, 0.6639368762483705, 0.6631757383676334","4, 71, 95","0.5117822, 0.671906, 0.71178305"
37,37,"12, 3, 33","0.6966628734627313, 0.6336025005229226, 0.582598692346132","12, 3, 73","0.008931516, 1.0553827, 2.000618"
38,38,"49, 22, 50","0.6374037988428866, 0.62885546901589, 0.5261523775555642","49, 22, 8","0.29242092, 0.4318941, 0.63732684"
39,39,"74, 90, 2","0.7579165058149459, 0.7517235378971411, 0.7316697511856525","2, 90, 43","0.06717226, 0.56507504, 1.2193907"
40,40,"6, 71, 15","0.7841750367510816, 0.7087160207250994, 0.7085388891961468","6, 61, 7","0.012221764, 0.17403984, 1.0064721"
41,41,"54, 82, 48","0.6452180647674018, 0.6375402211643857, 0.630803283062206","48, 82, 51","0.82738334, 1.089313, 1.3057595"
42,42,"77, 16, 11","0.9044971959463527, 0.7606911093851367, 0.7447620302079556","77, 50, 53","0.0018816553, 0.71820384, 0.9448004"
43,43,"90, 10, 13","0.7669376657227492, 0.6929436953580773, 0.6762675746079644","90, 10, 39","0.17271881, 0.24985537, 1.2193907"
44,44,"18, 62, 76","0.8193062013134684, 0.7934652992663355, 0.767388269010114","62, 76, 74","0.20399599, 0.30240893, 0.49151647"
45,45,"78, 74, 39","0.7508874257361281, 0.7383962368888304, 0.7162235408284332","58, 91, 2","0.023994306, 1.1841395, 1.3131824"
46,46,"5, 66, 36","0.7700307459037022, 0.7159622877662712, 0.6980462580326071","5, 95, 66","0.015685426, 0.33449775, 0.4455697"
47,47,"91, 74, 92","0.614641805070646, 0.5977632485315042, 0.5927501212205752","34, 92, 21","1.102423, 1.2715263, 1.327115"
48,48,"54, 59, 82","0.7389330337053062, 0.7232633723629842, 0.6731783032222454","59, 41, 98","0.32547754, 0.82738334, 0.9484479"
49,49,"50, 38, 70","0.6501278932612886, 0.6374037988428866, 0.6231857728865542","70, 38, 8","0.25467953, 0.29242092, 0.32284197"
50,50,"25, 49, 53","0.6687891326023989, 0.6501278932612886, 0.6499509641783765","53, 94, 27","0.4163077, 0.66586626, 0.67290926"
