,Index,high_nei,high_sim,low_nei,low_sim
0,0,"9, 7, 4","0.509123597060604, 0.4625376769435955, 0.45579467203456325","3, 6, 2","1448.4617, 1450.8131, 1493.3059"
1,1,"4, 2, 7","0.7523094835362188, 0.600663224889294, 0.5959735938312021","3, 8, 7","1493.7827, 2358.2603, 2675.3257"
2,2,"9, 7, 4","0.6587707718909889, 0.631081723009447, 0.6043573420493306","0, 8, 9","1493.3059, 2361.0322, 2675.1025"
3,3,"7, 9, 8","0.46864989431157217, 0.4633078372774949, 0.45517388415991766","0, 6, 1","1448.4617, 1450.5662, 1493.7827"
4,4,"1, 5, 6","0.7523094835362188, 0.6277861883636958, 0.6181743324519327","6, 7, 5","1549.167, 2064.376, 2701.2925"
5,5,"7, 9, 4","0.6835062465420536, 0.6525305456109711, 0.6277861883636958","6, 9, 4","1548.8011, 2065.9207, 2701.2925"
6,6,"9, 4, 7","0.646825736898424, 0.6181743324519327, 0.588153543668082","3, 0, 5","1450.5662, 1450.8131, 1548.8011"
7,7,"5, 9, 2","0.6835062465420536, 0.6503105125919915, 0.631081723009447","3, 4, 1","1636.6282, 2064.376, 2675.3257"
8,8,"7, 5, 9","0.5170140428187547, 0.47243112378703067, 0.4657696067450912","0, 3, 1","1949.5541, 1952.612, 2358.2603"
9,9,"2, 5, 7","0.6587707718909889, 0.6525305456109711, 0.6503105125919915","0, 5, 2","1637.7095, 2065.9207, 2675.1025"
