,index,high_nei,high_sim,low_nei,low_sim
0,0,"365, 51, 82","0.6891245098859079, 0.6353177310331323, 0.6298825126326691","365, 52, 218","0.032697193, 0.047183435, 0.0945214"
1,1,"127, 176, 4","0.8315727978430861, 0.7985226992163117, 0.7523094835362188","176, 412, 350","0.0012518198, 0.0077886293, 0.0083152065"
2,2,"311, 455, 143","0.8014107358437226, 0.7956482780552101, 0.7820020898905592","455, 391, 302","0.031873953, 0.036934752, 0.0373913"
3,3,"310, 73, 442","0.7221413733058502, 0.6876703555279116, 0.6746874260413405","73, 12, 487","0.027682215, 0.03370377, 0.04209123"
4,4,"127, 1, 270","0.7568057117889444, 0.7523094835362188, 0.7499803498772221","197, 205, 385","0.00014542129, 0.00061380427, 0.029276878"
5,5,"46, 349, 355","0.7700307459037022, 0.7125362081213391, 0.7092080389522553","290, 46, 355","0.035301708, 0.056214366, 0.066204235"
6,6,"40, 401, 378","0.7841750367510816, 0.718708400006763, 0.7111566616790038","378, 333, 410","0.011015321, 0.01795503, 0.01934326"
7,7,"416, 108, 238","0.7636211579246499, 0.743330416107691, 0.739864244538804","238, 405, 416","0.011835989, 0.015716655, 0.01801211"
8,8,"193, 493, 394","0.722010046399409, 0.7160443642509683, 0.6994209422124877","329, 131, 297","0.0016931583, 0.0055821734, 0.0074437615"
9,9,"447, 255, 475","0.9029612047789204, 0.8843921113166111, 0.8838079845489758","447, 161, 112","0.0035878823, 0.008386881, 0.010365985"
10,10,"154, 440, 175","0.8008566682402938, 0.7911925926745029, 0.7707688112164306","154, 287, 43","0.006892455, 0.02271459, 0.031096654"
11,11,"55, 344, 496","0.9393325716131693, 0.9196066486678693, 0.9094559145639775","377, 55, 344","0.0030608387, 0.0074415114, 0.015830759"
12,12,"37, 371, 442","0.6966628734627313, 0.6863247358013443, 0.6719330283215366","442, 487, 3","0.020758102, 0.02758335, 0.03370377"
13,13,"380, 154, 287","0.7167733149079305, 0.7093555942396922, 0.6993625343300156","184, 465, 178","0.0031260524, 0.017058564, 0.038405225"
14,14,"111, 33, 313","0.741872552754691, 0.7205615036945773, 0.7004958902842492","356, 111, 469","0.03346208, 0.039631374, 0.0527961"
15,15,"323, 97, 161","0.9138107367110493, 0.892358750184669, 0.8913262708392915","482, 323, 421","0.13048421, 0.1668511, 0.17182761"
16,16,"234, 249, 11","0.9101543249801978, 0.8993354425884215, 0.8982517840817034","458, 344, 249","0.00662487, 0.038712606, 0.05249672"
17,17,"371, 483, 30","0.686218711395788, 0.686004316049904, 0.6786447142012121","315, 155, 370","0.011404255, 0.014945288, 0.06343116"
18,18,"178, 96, 44","0.8400305599649275, 0.8211830296204098, 0.8193062013134684","216, 273, 118","0.0019569453, 0.0329327, 0.07041593"
19,19,"427, 100, 72","0.7376108891532558, 0.7009053945608993, 0.6956884384925334","100, 298, 427","0.0006348246, 0.0013922888, 0.018745415"
20,20,"313, 33, 186","0.7676217877205105, 0.7496894393816644, 0.7453889148257182","199, 186, 313","0.0022986415, 0.0073202373, 0.030859014"
21,21,"248, 116, 242","0.7352807118229041, 0.7293155898122391, 0.7145432397086184","390, 248, 87","0.026888262, 0.08631683, 0.12060347"
22,22,"185, 261, 343","0.7021192128113264, 0.7017780193165386, 0.6310250005318233","261, 343, 185","0.0003662808, 0.02431799, 0.0319028"
23,23,"144, 93, 89","0.7030160102834759, 0.6958797623474531, 0.6926612557417097","144, 14, 356","0.09051388, 0.096115574, 0.15961589"
24,24,"386, 182, 136","0.7107015410811799, 0.7093555998203619, 0.6866654903624475","106, 236, 265","0.0032119297, 0.011294798, 0.017691419"
25,25,"256, 134, 431","0.7785156019377002, 0.7532398659680488, 0.7360574974549113","282, 269, 326","0.036975093, 0.037154328, 0.07724338"
26,26,"443, 306, 151","0.6308736802242404, 0.6255819042147194, 0.6242235894732557","436, 399, 306","0.001435798, 0.011213634, 0.046858907"
27,27,"194, 53, 117","0.7398737504242944, 0.7023621929589415, 0.6867819207414818","194, 318, 243","0.12656654, 0.18937664, 0.19730806"
28,28,"292, 24, 29","0.6186379028281238, 0.5920533167067946, 0.5844609666771924","182, 422, 36","0.03699059, 0.08390601, 0.093902096"
29,29,"271, 24, 95","0.665652990930702, 0.6563924265677556, 0.6533192704338866","460, 271, 308","0.0011279149, 0.0014956873, 0.0025092307"
30,30,"280, 200, 397","0.7761073364000002, 0.7405381819904459, 0.7253988494853397","239, 207, 280","0.023580642, 0.070171505, 0.08620376"
31,31,"198, 84, 69","0.6846908541445772, 0.6417369514949792, 0.6216015739710031","69, 468, 335","0.0003139586, 0.012816498, 0.014887778"
32,32,"352, 438, 363","0.7680817084707183, 0.7657660141926742, 0.7222071539695396","363, 438, 94","0.0053180633, 0.019844407, 0.029388363"
33,33,"313, 435, 355","0.8329398228812604, 0.8301755847619374, 0.7868243845483605","91, 466, 191","0.005152827, 0.008434911, 0.010855979"
34,34,"490, 220, 339","0.750294702216225, 0.7416673605177782, 0.7385362466221611","179, 220, 496","0.002682421, 0.0063659707, 0.009291948"
35,35,"438, 67, 110","0.6554205917698267, 0.6336451814862715, 0.6299498652097688","122, 489, 89","0.031035073, 0.035643503, 0.04049908"
36,36,"267, 425, 46","0.7386716738678583, 0.7107310308384915, 0.6980462580326071","182, 147, 386","0.0133406855, 0.03786797, 0.06932419"
37,37,"12, 442, 291","0.6966628734627313, 0.6691524179720988, 0.6679511812149307","487, 274, 12","0.07617118, 0.07726742, 0.07935127"
38,38,"343, 261, 49","0.7505713640881007, 0.6879233142000459, 0.6374037988428866","185, 343, 261","0.0021761213, 0.0052045947, 0.032680888"
39,39,"485, 215, 497","0.8705326353234787, 0.8339217134591494, 0.7992198880794638","302, 455, 391","0.0015605082, 0.0027704714, 0.0044130553"
40,40,"401, 6, 378","0.7878327762260618, 0.7841750367510816, 0.7438750392237089","71, 410, 6","0.0067453273, 0.030308163, 0.041863963"
41,41,"319, 125, 399","0.7131102322914945, 0.6642704925060515, 0.6617681631968877","483, 183, 446","0.012267992, 0.026716802, 0.03347014"
42,42,"195, 104, 77","0.9185110840851182, 0.9108951754388427, 0.9044971959463527","195, 104, 77","0.0040784916, 0.01006462, 0.023878496"
43,43,"494, 139, 244","0.8294520085545461, 0.7930138296522278, 0.7914158127495339","440, 494, 245","0.0003374081, 0.0040481198, 0.0052446853"
44,44,"484, 268, 345","0.8346784373896311, 0.8291920996493509, 0.8208770488105207","74, 162, 62","0.0007139056, 0.003006795, 0.004754996"
45,45,"290, 162, 78","0.7992590504150948, 0.7645301073646262, 0.7508874257361281","334, 132, 290","0.0070223915, 0.042232893, 0.06175483"
46,46,"5, 491, 484","0.7700307459037022, 0.748028613023019, 0.7233375130861577","355, 435, 5","0.046467166, 0.047210556, 0.056214366"
